2018-12-01 03:57:56,"b'It\xe2\x80\x99s not even December, and Oldtown will certainly be covered with vomit, red, green and white privilege!\n#OldtownChicago #Chicago #drunk'",b'DrunkInOldTown'
2018-12-01 03:54:56,"b""Have internal pains that the doctor can't explain? Get drunk and you won't feel them anymore. #waysoflife #drunk""",b'MinettTrevor'
2018-12-01 03:35:46,b'Its Christmasss!! \xf0\x9f\x8e\x84 #Belfast #spoons #weatherspoons #happy #drunk #outfit #makeup #ineedtostopdrinking @ Belfast https://t.co/uByfWE3l83',b'RoisinMorgan3'
2018-12-01 03:19:26,"b'@Section_328 The three words that best describe how to deal with this are as follows, and I quote,\n\n""#drink, #drank, #drunk""!'",b'benjaminmoser'
2018-12-01 02:55:40,"b""@JeffFlake #FlipFlopFlake your name says it all- couldn't decide against #SerialRapist #Drunk #Liar #Kavanaugh\xe2\x80\xa6 https://t.co/43zJ48s8EU""",b'joanharrisart'
2018-12-01 02:53:29,"b'When I\'m #DRUNK , My phone should say: \n""Are u sure you want to send this message?""'",b'kimdanger4'
2018-12-01 02:53:13,"b""@Sen_JoeManchin well this time you weren't a #Turncoat #Traitor and voted against #RacistTomFarr where were you on\xe2\x80\xa6 https://t.co/pRxllAXyC5""",b'joanharrisart'
2018-12-01 02:32:10,"b""@axios Who was #drunk when #Whitefish #Energy was awarded $300M contract 2 restore Puerto Rico's electric grid folo\xe2\x80\xa6 https://t.co/US9S2j3xqT""",b'ny_red1'
2018-12-01 02:25:58,"b'Could easily apply for my door license after tonight. What a night! Different pub,same trouble. Lol #PubLife #Fights #Drunk #Knobheads'",b'MummyToADiva'
2018-12-01 02:22:07,b'#Drunk One night I got so drunk &amp; my friend lived in these row houses so every door looked exactly the same. Well a\xe2\x80\xa6 https://t.co/GAL6bZ7EzH',b'KayMogul'
2018-12-01 02:01:40,b'RT @ThatGuyRooT: You gotta watch it...  #EpicnessAwaitsTheNightStream\n\n@cgndotus @cgnstreams @Twitch_RT \n\n#SupportSmallStreamers \n#mario #d\xe2\x80\xa6',b'SupportStreamRT'
2018-12-01 01:48:44,b'You gotta watch it...  #EpicnessAwaitsTheNightStream\n\n@cgndotus @cgnstreams @Twitch_RT \n\n#SupportSmallStreamers\xe2\x80\xa6 https://t.co/UHGRGBJKYj',b'ThatGuyRooT'
2018-12-01 01:31:20,b'@duzzborn @charliekirk11 Are you #drunk?',b'JohnBucanis'
2018-12-01 01:27:28,"b'Slightly inebriated me..\xf0\x9f\x98\x8b\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#inebriated #drunk #drinkies #funtimes #whynot @ Waterford, Ireland https://t.co/sI1TyHQOQB'",b'MySparklingHalo'
2018-12-01 01:26:12,b'YASSSSSSS QUEEEEEN\n\nITS MAH BIRTHDAY &amp; to celebrate my birthday and the first official day of summer in NZ I am doi\xe2\x80\xa6 https://t.co/g7Uza6gV11',b'whiitakers'
2018-12-01 01:23:20,b'#Drunk #Take: #Amazon Should Buy B&amp;N https://t.co/Kdnfcj5h0R via @thDigitalReader https://t.co/BnKobdVhx9',b'byStevenRamirez'
2018-12-01 01:22:50,b'I make a surprisingly good curry when I\xe2\x80\x99m drunk. #curry #currynight #indian #instachef #instagay #drunkcooking\xe2\x80\xa6 https://t.co/0bkzwHX28F',b'RobertEverett4'
2018-12-01 01:10:35,b'Because Belgian.\n#beer #friday #friyay #metro2033 #redux #lastlightredux #belgian #fidaynight #trappist\xe2\x80\xa6 https://t.co/JLzGBvn2Mf',b'RinjiAoki'
2018-12-01 00:48:38,b'Are the promises coming true for you? The Ninth Step Promises https://t.co/o87wiIaPe6  #aa #ca #na #sa #saa #ha #oa\xe2\x80\xa6 https://t.co/fywzS0t3uS',b'recoveryspeaker'
2018-12-01 00:42:49,b'So I got alcohol for my drunk video!! \xf0\x9f\x98\xad\xf0\x9f\xa5\xb4 I already know this one is going to be good. What game should I play drunk? #vote #drunk #gaming',b'MsBeautifulLynn'
2018-12-01 00:19:42,b'Sometimes family and friends warn us about our choices yet we choose not to listen. Tune in next week for the true\xe2\x80\xa6 https://t.co/6Zd7bfb8nQ',b'UnshackledPGM'
2018-11-30 23:36:03,b'Me and Michbangs! Love the mother! @sheliesouthward #drunk #goodnight https://t.co/Ymzp48NwKb',b'DillonSouthward'
2018-11-30 23:36:02,b'@SecretaryZinke \nForgot #Drunk on your #Bio',b'MUSKYMAN1963'
2018-11-30 23:34:14,b'Fridays here! Celebrate the weekend! #turcs #turcscocktails #beer #drunk #whiskey #alcohol #hb #oc #bestdivebar\xe2\x80\xa6 https://t.co/cylkVsjEhG',b'TurcsCocktails'
2018-11-30 23:21:34,"b""RT @campvaudeville: Here's our dumbass drummer drunk on friday #drunk https://t.co/gCa4XiNebG""",b'FixedFrequency'
2018-11-30 23:13:03,b'RT: @tbuzzcr125 think I shall get #drunk smoke some #weed and #PissOfftheNeighbors #BassGuitar via @Secrunch',b'Bassplayer2099'
2018-11-30 23:01:38,b'RT @TheEricButts: In 1 hour we get #Drunk for our 1st ever Spy Special https://t.co/jLmud2GXCY\n\nJoin us as we #LiveStream our #Reaction to\xe2\x80\xa6',b'xFEISTYCANUCKx'
2018-11-30 23:00:13,b'In 1 hour we get #Drunk for our 1st ever Spy Special https://t.co/jLmud2GXCY\n\nJoin us as we #LiveStream our\xe2\x80\xa6 https://t.co/pbQ0P2qL9M',b'TheEricButts'
2018-11-30 22:57:27,b'@tbuzzcr125 think I shall get #drunk smoke some #weed and #PissOfftheNeighbors #BassGuitar',b'Secrunch'
2018-11-30 22:56:41,b'RT @skinnerslane: \xf0\x9f\x91\x91 Excited to be playing @thejacclub w/ @nikkiandthewave @idlehours_ Natalie and the Monarchy &amp; @SamLyonMusic tonight\nFun\xe2\x80\xa6',b'Zaktopous'
2018-11-30 22:16:24,b'RT @DiabeticCyborgg: A top #Democrat said he plans to #investigate #RyanZinke in #Congress. #Zinke called him a #drunk. https://t.co/xg0fg5\xe2\x80\xa6',b'EthicsRetweet'
2018-11-30 22:08:36,b'A top #Democrat said he plans to #investigate #RyanZinke in #Congress. #Zinke called him a #drunk.\xe2\x80\xa6 https://t.co/hXmW9eKfbU',b'DiabeticCyborgg'
2018-11-30 21:42:49,b'RT @goodspiritsftl: Well-thought-out craft cocktails via our spirit master\xc2\xa0\xe2\x9c\x94\xef\xb8\x8f\n\xe2\x97\x90\n\xe2\x97\x90\n\xe2\x97\x90\n#goodspiritsftl #fortlauderdale #lasolas #victoriapark\xe2\x80\xa6',b'FortLaudEatz'
2018-11-30 21:21:17,"b""Well I guess it's beard o'clock.\n\n#beardo #ipa #beard #drunk @ Pontefract https://t.co/eYchnrDUBf""",b'robbiejpoole'
2018-11-30 21:08:31,"b""RT @MuchMoreBooks: There's always been that drunk guy trying to talk to the DJ \xf0\x9f\xa4\xa3\n\n#sesh #dj #thatfridayfeeling #drunk #bagpipes #music #dvo\xe2\x80\xa6""",b'thesalopgarden'
